COD_DISTRITO,DISTRITO,SUPERFICIE_KM2
1,Centro,5.23
2,Arganzuela,6.46
3,Retiro,5.47
4,Salamanca,5.39
5,Chamartín,5.51
6,Tetuán,5.38
7,Chamberí,4.69
8,Fuencarral-El Pardo,237.81
9,Moncloa-Aravaca,32.89
10,Latina,25.41
11,Carabanchel,14.99
12,Usera,7.74
13,Puente de Vallecas,14.89
14,Moratalaz,6.34
15,Ciudad Lineal,11.43
16,Hortaleza,27.39
17,Villaverde,20.29
18,Vallecas Villa,27.36
19,San Blas-Canillejas,22.36
20,Barajas,8.16
21,Vicálvaro,25.34 
