distrito,codigo_seccion,habitantes,todos_espanoles,todos_extranjeros,mixto_espanoles_extranjeros
03. Retiro,3042,474.0,433.0,10.0,31.0
03. Retiro,3044,462.0,406.0,17.0,39.0
03. Retiro,3045,392.0,362.0,11.0,19.0
03. Retiro,3046,349.0,319.0,7.0,23.0
03. Retiro,3047,660.0,566.0,39.0,55.0
03. Retiro,3048,454.0,373.0,36.0,45.0
03. Retiro,3049,730.0,631.0,37.0,62.0
03. Retiro,3050,663.0,565.0,48.0,50.0
03. Retiro,3051,465.0,382.0,43.0,40.0
03. Retiro,3052,417.0,340.0,35.0,42.0
03. Retiro,3053,584.0,474.0,54.0,56.0
03. Retiro,3054,564.0,472.0,47.0,45.0
03. Retiro,3055,462.0,339.0,65.0,58.0
03. Retiro,3056,446.0,373.0,32.0,41.0
03. Retiro,3057,446.0,382.0,19.0,45.0
03. Retiro,3058,579.0,432.0,78.0,69.0
03. Retiro,3059,502.0,395.0,42.0,65.0
03. Retiro,3060,366.0,288.0,39.0,39.0
03. Retiro,3061,446.0,341.0,53.0,52.0
03. Retiro,3063,336.0,269.0,32.0,35.0
03. Retiro,3064,388.0,333.0,26.0,29.0
03. Retiro,3065,615.0,506.0,44.0,65.0
03. Retiro,3066,392.0,317.0,39.0,36.0
03. Retiro,3067,523.0,429.0,46.0,48.0
03. Retiro,3069,311.0,226.0,35.0,50.0
03. Retiro,3070,286.0,208.0,31.0,47.0
03. Retiro,3071,599.0,432.0,81.0,86.0
03. Retiro,3073,665.0,549.0,56.0,60.0
03. Retiro,3074,465.0,415.0,16.0,34.0
03. Retiro,3076,418.0,376.0,16.0,26.0
03. Retiro,3077,618.0,537.0,21.0,60.0
03. Retiro,3078,566.0,512.0,15.0,39.0
03. Retiro,3079,564.0,495.0,26.0,43.0
03. Retiro,3080,626.0,539.0,21.0,66.0
03. Retiro,3081,597.0,539.0,7.0,51.0
03. Retiro,3082,486.0,433.0,8.0,45.0
03. Retiro,3084,564.0,486.0,24.0,54.0
03. Retiro,3085,338.0,304.0,5.0,29.0
03. Retiro,3086,427.0,373.0,20.0,34.0
03. Retiro,3087,635.0,579.0,15.0,41.0
03. Retiro,3088,274.0,243.0,11.0,20.0
03. Retiro,3089,688.0,654.0,8.0,26.0
03. Retiro,3090,399.0,390.0,1.0,8.0
03. Retiro,3091,584.0,548.0,8.0,28.0
03. Retiro,3092,839.0,765.0,20.0,54.0
03. Retiro,3093,429.0,409.0,4.0,16.0
03. Retiro,3094,269.0,251.0,4.0,14.0
03. Retiro,3095,753.0,695.0,20.0,38.0
03. Retiro,3096,793.0,739.0,12.0,42.0
03. Retiro,3097,479.0,416.0,23.0,40.0
03. Retiro,3098,853.0,738.0,43.0,72.0
03. Retiro,3099,665.0,578.0,30.0,57.0
03. Retiro,3100,499.0,461.0,10.0,28.0
03. Retiro,3101,541.0,502.0,9.0,30.0
04. Salamanca,4001,534.0,351.0,114.0,69.0
04. Salamanca,4002,438.0,310.0,63.0,65.0
04. Salamanca,4003,367.0,259.0,64.0,44.0
04. Salamanca,4004,404.0,287.0,55.0,62.0
04. Salamanca,4005,344.0,255.0,46.0,43.0
04. Salamanca,4006,436.0,302.0,78.0,56.0
04. Salamanca,4007,645.0,408.0,159.0,78.0
04. Salamanca,4008,550.0,348.0,160.0,42.0
04. Salamanca,4009,656.0,513.0,54.0,89.0
04. Salamanca,4010,292.0,200.0,46.0,46.0
04. Salamanca,4011,621.0,434.0,100.0,87.0
04. Salamanca,4012,536.0,394.0,72.0,70.0
04. Salamanca,4013,372.0,273.0,45.0,54.0
04. Salamanca,4014,521.0,390.0,75.0,56.0
04. Salamanca,4015,559.0,407.0,80.0,72.0
04. Salamanca,4016,625.0,460.0,108.0,57.0
04. Salamanca,4017,609.0,475.0,71.0,63.0
04. Salamanca,4018,550.0,454.0,49.0,47.0
04. Salamanca,4019,327.0,243.0,51.0,33.0
04. Salamanca,4020,365.0,276.0,50.0,39.0
04. Salamanca,4021,390.0,308.0,47.0,35.0
04. Salamanca,4023,413.0,301.0,65.0,47.0
04. Salamanca,4024,627.0,456.0,113.0,58.0
04. Salamanca,4025,441.0,331.0,68.0,42.0
04. Salamanca,4026,389.0,300.0,52.0,37.0
04. Salamanca,4027,664.0,483.0,100.0,81.0
04. Salamanca,4028,687.0,491.0,114.0,82.0
04. Salamanca,4029,603.0,474.0,54.0,75.0
04. Salamanca,4030,615.0,476.0,81.0,58.0
04. Salamanca,4031,370.0,268.0,54.0,48.0
04. Salamanca,4032,377.0,292.0,45.0,40.0
04. Salamanca,4033,469.0,379.0,34.0,56.0
04. Salamanca,4034,681.0,543.0,80.0,58.0
04. Salamanca,4035,688.0,529.0,85.0,74.0
04. Salamanca,4036,310.0,260.0,24.0,26.0
04. Salamanca,4037,379.0,319.0,27.0,33.0
04. Salamanca,4038,491.0,372.0,67.0,52.0
04. Salamanca,4039,367.0,301.0,34.0,32.0
04. Salamanca,4040,324.0,271.0,23.0,30.0
04. Salamanca,4041,432.0,351.0,42.0,39.0
04. Salamanca,4042,527.0,428.0,30.0,69.0
04. Salamanca,4043,513.0,420.0,39.0,54.0
04. Salamanca,4044,643.0,521.0,44.0,78.0
04. Salamanca,4045,692.0,571.0,64.0,57.0
04. Salamanca,4046,287.0,250.0,14.0,23.0
04. Salamanca,4047,463.0,403.0,24.0,36.0
04. Salamanca,4048,437.0,346.0,38.0,53.0
04. Salamanca,4049,667.0,532.0,70.0,65.0
04. Salamanca,4050,315.0,247.0,26.0,42.0
04. Salamanca,4051,601.0,466.0,63.0,72.0
04. Salamanca,4052,502.0,419.0,39.0,44.0
04. Salamanca,4053,569.0,465.0,38.0,66.0
04. Salamanca,4054,525.0,447.0,26.0,52.0
04. Salamanca,4055,757.0,655.0,39.0,63.0
04. Salamanca,4056,684.0,566.0,60.0,58.0
04. Salamanca,4057,535.0,437.0,40.0,58.0
04. Salamanca,4058,559.0,468.0,41.0,50.0
04. Salamanca,4060,596.0,489.0,51.0,56.0
04. Salamanca,4061,582.0,484.0,36.0,62.0
04. Salamanca,4062,562.0,471.0,45.0,46.0
04. Salamanca,4063,643.0,521.0,61.0,61.0
04. Salamanca,4064,518.0,417.0,53.0,48.0
04. Salamanca,4065,747.0,617.0,64.0,66.0
04. Salamanca,4067,530.0,436.0,42.0,52.0
04. Salamanca,4068,449.0,375.0,30.0,44.0
04. Salamanca,4069,684.0,557.0,68.0,59.0
04. Salamanca,4070,536.0,443.0,35.0,58.0
04. Salamanca,4071,470.0,403.0,25.0,42.0
04. Salamanca,4072,289.0,251.0,11.0,27.0
04. Salamanca,4073,578.0,512.0,26.0,40.0
04. Salamanca,4074,468.0,424.0,17.0,27.0
04. Salamanca,4075,361.0,325.0,9.0,27.0
04. Salamanca,4076,304.0,279.0,3.0,22.0
04. Salamanca,4077,378.0,355.0,3.0,20.0
04. Salamanca,4078,237.0,221.0,2.0,14.0
04. Salamanca,4079,388.0,364.0,5.0,19.0
04. Salamanca,4080,251.0,224.0,6.0,21.0
04. Salamanca,4081,368.0,324.0,3.0,41.0
04. Salamanca,4082,324.0,290.0,13.0,21.0
04. Salamanca,4083,289.0,251.0,9.0,29.0
04. Salamanca,4084,307.0,278.0,7.0,22.0
04. Salamanca,4085,1033.0,841.0,97.0,95.0
04. Salamanca,4086,725.0,595.0,67.0,63.0
04. Salamanca,4087,1158.0,951.0,115.0,92.0
04. Salamanca,4088,976.0,790.0,87.0,99.0
04. Salamanca,4089,381.0,304.0,37.0,40.0
04. Salamanca,4090,588.0,490.0,53.0,45.0
04. Salamanca,4091,808.0,585.0,141.0,82.0
04. Salamanca,4092,488.0,378.0,63.0,47.0
04. Salamanca,4093,580.0,437.0,62.0,81.0
04. Salamanca,4094,622.0,509.0,56.0,57.0
04. Salamanca,4096,698.0,512.0,111.0,75.0
04. Salamanca,4097,436.0,342.0,46.0,48.0
04. Salamanca,4098,539.0,453.0,41.0,45.0
04. Salamanca,4099,489.0,382.0,53.0,54.0
04. Salamanca,4100,319.0,277.0,17.0,25.0
04. Salamanca,4101,450.0,289.0,91.0,70.0
04. Salamanca,4102,533.0,361.0,108.0,64.0
04. Salamanca,4103,635.0,475.0,105.0,55.0
04. Salamanca,4104,529.0,401.0,60.0,68.0
04. Salamanca,4105,485.0,390.0,44.0,51.0
04. Salamanca,4106,511.0,391.0,69.0,51.0
04. Salamanca,4107,293.0,223.0,33.0,37.0
04. Salamanca,4108,445.0,332.0,57.0,56.0
04. Salamanca,4109,700.0,561.0,62.0,77.0
04. Salamanca,4110,506.0,390.0,67.0,49.0
04. Salamanca,4111,691.0,548.0,62.0,81.0
04. Salamanca,4112,577.0,440.0,78.0,59.0
04. Salamanca,4113,504.0,401.0,53.0,50.0
04. Salamanca,4114,551.0,407.0,79.0,65.0
04. Salamanca,4115,611.0,476.0,52.0,83.0
04. Salamanca,4116,373.0,262.0,63.0,48.0
04. Salamanca,4117,340.0,244.0,48.0,48.0
04. Salamanca,4118,311.0,218.0,52.0,41.0
04. Salamanca,4119,585.0,429.0,91.0,65.0
04. Salamanca,4120,335.0,256.0,30.0,49.0
04. Salamanca,4121,454.0,345.0,50.0,59.0
04. Salamanca,4123,650.0,452.0,138.0,60.0
04. Salamanca,4124,544.0,336.0,153.0,55.0
04. Salamanca,4126,627.0,477.0,89.0,61.0
04. Salamanca,4127,518.0,283.0,177.0,58.0
04. Salamanca,4128,837.0,514.0,217.0,106.0
04. Salamanca,4130,318.0,216.0,61.0,41.0
04. Salamanca,4131,521.0,418.0,49.0,54.0
05. Chamartín,5001,369.0,281.0,25.0,63.0
05. Chamartín,5002,518.0,383.0,42.0,93.0
05. Chamartín,5003,715.0,577.0,40.0,98.0
05. Chamartín,5004,520.0,426.0,21.0,73.0
05. Chamartín,5005,473.0,395.0,18.0,60.0
05. Chamartín,5006,416.0,339.0,17.0,60.0
05. Chamartín,5007,648.0,558.0,17.0,73.0
05. Chamartín,5008,467.0,330.0,29.0,108.0
05. Chamartín,5009,425.0,336.0,21.0,68.0
05. Chamartín,5010,400.0,294.0,60.0,46.0
05. Chamartín,5011,386.0,304.0,40.0,42.0
05. Chamartín,5012,506.0,399.0,64.0,43.0
05. Chamartín,5013,352.0,294.0,27.0,31.0
05. Chamartín,5014,456.0,375.0,37.0,44.0
05. Chamartín,5015,556.0,443.0,77.0,36.0
05. Chamartín,5016,420.0,340.0,40.0,40.0
05. Chamartín,5017,653.0,543.0,51.0,59.0
05. Chamartín,5018,596.0,485.0,43.0,68.0
05. Chamartín,5019,421.0,347.0,33.0,41.0
05. Chamartín,5020,551.0,448.0,57.0,46.0
05. Chamartín,5021,332.0,273.0,27.0,32.0
05. Chamartín,5022,598.0,508.0,46.0,44.0
05. Chamartín,5023,589.0,539.0,19.0,31.0
05. Chamartín,5024,359.0,324.0,10.0,25.0
05. Chamartín,5025,465.0,420.0,11.0,34.0
05. Chamartín,5026,758.0,652.0,50.0,56.0
05. Chamartín,5027,761.0,658.0,37.0,66.0
05. Chamartín,5028,836.0,691.0,60.0,85.0
05. Chamartín,5029,824.0,629.0,90.0,105.0
05. Chamartín,5030,609.0,497.0,56.0,56.0
05. Chamartín,5031,424.0,355.0,30.0,39.0
05. Chamartín,5032,686.0,536.0,75.0,75.0
05. Chamartín,5033,890.0,762.0,61.0,67.0
05. Chamartín,5034,867.0,716.0,68.0,83.0
05. Chamartín,5035,528.0,471.0,23.0,34.0
05. Chamartín,5036,719.0,638.0,30.0,51.0
05. Chamartín,5037,485.0,452.0,11.0,22.0
05. Chamartín,5038,654.0,541.0,30.0,83.0
05. Chamartín,5039,855.0,700.0,84.0,71.0
05. Chamartín,5040,328.0,276.0,29.0,23.0
05. Chamartín,5041,492.0,373.0,49.0,70.0
05. Chamartín,5042,638.0,530.0,43.0,65.0
05. Chamartín,5043,546.0,465.0,41.0,40.0
05. Chamartín,5044,822.0,675.0,71.0,76.0
05. Chamartín,5045,759.0,616.0,66.0,77.0
05. Chamartín,5046,771.0,613.0,68.0,90.0
05. Chamartín,5047,728.0,583.0,68.0,77.0
05. Chamartín,5048,474.0,401.0,25.0,48.0
05. Chamartín,5049,459.0,420.0,11.0,28.0
05. Chamartín,5051,570.0,503.0,23.0,44.0
05. Chamartín,5052,536.0,465.0,17.0,54.0
05. Chamartín,5053,693.0,589.0,18.0,86.0
05. Chamartín,5054,613.0,530.0,28.0,55.0
05. Chamartín,5055,617.0,543.0,23.0,51.0
05. Chamartín,5056,627.0,534.0,37.0,56.0
05. Chamartín,5057,503.0,439.0,29.0,35.0
05. Chamartín,5058,784.0,698.0,37.0,49.0
05. Chamartín,5059,327.0,285.0,3.0,39.0
05. Chamartín,5060,598.0,512.0,30.0,56.0
05. Chamartín,5061,844.0,750.0,38.0,56.0
05. Chamartín,5062,663.0,593.0,20.0,50.0
05. Chamartín,5063,277.0,236.0,9.0,32.0
05. Chamartín,5064,817.0,703.0,41.0,73.0
05. Chamartín,5065,565.0,506.0,32.0,27.0
05. Chamartín,5066,495.0,416.0,19.0,60.0
05. Chamartín,5067,854.0,722.0,53.0,79.0
05. Chamartín,5068,607.0,517.0,19.0,71.0
05. Chamartín,5069,335.0,289.0,14.0,32.0
05. Chamartín,5070,859.0,709.0,68.0,82.0
05. Chamartín,5072,699.0,602.0,37.0,60.0
05. Chamartín,5073,679.0,584.0,31.0,64.0
05. Chamartín,5074,572.0,466.0,40.0,66.0
05. Chamartín,5075,634.0,512.0,42.0,80.0
05. Chamartín,5076,846.0,688.0,53.0,105.0
05. Chamartín,5077,439.0,348.0,18.0,73.0
05. Chamartín,5078,295.0,245.0,18.0,32.0
05. Chamartín,5079,818.0,639.0,84.0,95.0
05. Chamartín,5080,420.0,368.0,16.0,36.0
05. Chamartín,5081,860.0,757.0,32.0,71.0
