distrito,codigo_seccion,habitantes,mujer_sola_16_64,hombre_solo_16_64,mujer_sola_65omas,hombre_solo_65omas,mujer_con_menores,hombre_con_menores,pareja_16_64_sin_menores,pareja_1_65omas_sin_menores,pareja_con_1menor,pareja_con_2menores,pareja_con_3omas_menores,2adultos35omas_1joven_sin_menores,2adultos35omas_1joven_1menor,2adultos35omas_1joven_2omas_menores,3adultos_con_sin_menores,2adultos35omas_2jovenes_sin_menores,2adultos35omas_2jovenes_1menor,2adultos35omas_2jovenes_2omas_menores,4adultos_con_sin_menores,5omas_adultos,hogar_15omas,menores_solos
01. Centro,1013,650.0,119.0,142.0,54.0,15.0,5.0,1.0,147.0,36.0,16.0,13.0,2.0,16.0,5.0,0.0,41.0,7.0,1.0,0.0,13.0,16.0,0.0,1.0
01. Centro,1014,703.0,120.0,119.0,52.0,27.0,14.0,3.0,136.0,57.0,25.0,16.0,3.0,25.0,7.0,2.0,50.0,18.0,0.0,1.0,20.0,8.0,0.0,0.0
01. Centro,1015,733.0,110.0,115.0,62.0,27.0,7.0,2.0,167.0,78.0,25.0,15.0,0.0,26.0,4.0,4.0,43.0,12.0,2.0,0.0,21.0,11.0,2.0,0.0
01. Centro,1016,561.0,82.0,110.0,41.0,14.0,5.0,3.0,119.0,55.0,28.0,12.0,1.0,18.0,4.0,0.0,26.0,19.0,1.0,0.0,12.0,10.0,0.0,1.0
01. Centro,1018,930.0,139.0,160.0,116.0,49.0,11.0,6.0,154.0,89.0,36.0,19.0,4.0,40.0,5.0,0.0,49.0,13.0,1.0,0.0,18.0,21.0,0.0,0.0
01. Centro,1019,683.0,134.0,93.0,65.0,19.0,12.0,3.0,138.0,65.0,24.0,8.0,2.0,21.0,2.0,1.0,61.0,8.0,0.0,1.0,18.0,8.0,0.0,0.0
01. Centro,1020,645.0,104.0,126.0,51.0,27.0,14.0,3.0,106.0,63.0,21.0,9.0,3.0,25.0,7.0,1.0,42.0,12.0,1.0,0.0,13.0,16.0,0.0,1.0
01. Centro,1021,863.0,135.0,144.0,73.0,28.0,10.0,3.0,158.0,90.0,22.0,9.0,3.0,41.0,9.0,2.0,54.0,26.0,2.0,2.0,22.0,29.0,1.0,0.0
01. Centro,1022,647.0,130.0,119.0,49.0,18.0,10.0,3.0,112.0,53.0,19.0,16.0,6.0,18.0,7.0,3.0,36.0,13.0,1.0,0.0,14.0,20.0,0.0,0.0
01. Centro,1023,727.0,137.0,151.0,43.0,16.0,8.0,0.0,156.0,47.0,21.0,12.0,3.0,17.0,4.0,1.0,64.0,6.0,3.0,0.0,19.0,19.0,0.0,0.0
01. Centro,1024,678.0,138.0,152.0,38.0,24.0,7.0,1.0,145.0,39.0,13.0,13.0,1.0,22.0,6.0,2.0,42.0,4.0,3.0,0.0,16.0,12.0,0.0,0.0
01. Centro,1025,477.0,74.0,75.0,30.0,17.0,8.0,1.0,104.0,32.0,16.0,14.0,2.0,8.0,3.0,6.0,32.0,5.0,1.0,0.0,26.0,23.0,0.0,0.0
01. Centro,1026,738.0,123.0,139.0,44.0,22.0,12.0,4.0,152.0,66.0,19.0,12.0,0.0,24.0,8.0,2.0,53.0,10.0,3.0,0.0,31.0,14.0,0.0,0.0
01. Centro,1027,602.0,114.0,132.0,35.0,17.0,6.0,1.0,125.0,35.0,24.0,11.0,0.0,18.0,3.0,0.0,31.0,12.0,2.0,0.0,23.0,12.0,1.0,0.0
